0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000002075FB17390>,vallenar,cl,-28.58,52.83,77,0,2.26,1521786760
<citipy.citipy.City object at 0x000002075F77A438>,broome,au,52.47,43.86,75,64,16.11,1521784920
<citipy.citipy.City object at 0x0000020761081400>,mao,td,19.55,73.4,94,75,3.04,1521784800
<citipy.citipy.City object at 0x0000020760211128>,dwarka,in,28.58,78.8,39,0,9.17,1521784800
<citipy.citipy.City object at 0x0000020760721080>,lazaro cardenas,mx,28.39,68.49,31,20,7.18,1521787032
<citipy.citipy.City object at 0x00000207611D47B8>,fortuna,us,38.18,50.09,49,0,6.93,1521784800
<citipy.citipy.City object at 0x00000207615B0C50>,port alfred,za,-33.59,67.14,90,8,16.02,1521786698
<citipy.citipy.City object at 0x0000020761248470>,griffin,us,33.25,42.46,42,1,3.36,1521784500
<citipy.citipy.City object at 0x0000020760FC2710>,ust-nera,ru,64.57,4.05,71,12,2.59,1521787033
<citipy.citipy.City object at 0x00000207608C38D0>,atuona,pf,-9.8,79.83,100,92,12.55,1521786677
<citipy.citipy.City object at 0x0000020760377550>,vestmannaeyjar,is,63.44,38.88,97,92,7.63,1521786730
<citipy.citipy.City object at 0x00000207608C6E80>,tautira,pf,-17.73,82.4,69,20,4.7,1521784800
<citipy.citipy.City object at 0x0000020760373B70>,grindavik,is,63.84,34.65,100,40,8.05,1521784800
<citipy.citipy.City object at 0x000002076013D128>,bengkulu,id,,,,,,
<citipy.citipy.City object at 0x00000207608C6438>,mataura,pf,-46.19,54.81,90,80,7.4,1521786670
<citipy.citipy.City object at 0x00000207611EB048>,pacific grove,us,36.62,46.8,57,90,8.05,1521784500
<citipy.citipy.City object at 0x0000020760FACE80>,tura,ru,25.52,78.57,74,0,2.93,1521787035
<citipy.citipy.City object at 0x000002076069BE80>,grand river south east,mu,,,,,,
<citipy.citipy.City object at 0x000002075FB34C50>,dongli,cn,24.18,73.4,38,0,8.95,1521784800
<citipy.citipy.City object at 0x0000020760F580B8>,severnyy,ru,,,,,,
<citipy.citipy.City object at 0x0000020760BB5B00>,meyungs,pw,,,,,,
<citipy.citipy.City object at 0x0000020760365E10>,khorramshahr,ir,30.43,75.2,27,0,16.11,1521784800
<citipy.citipy.City object at 0x000002076107ED68>,faya,td,18.39,71.6,18,0,4.7,1521784800
<citipy.citipy.City object at 0x000002075F77ACF8>,carnarvon,au,-30.97,55.17,84,0,9.19,1521786689
<citipy.citipy.City object at 0x00000207608789E8>,salalah,om,17.01,80.6,61,40,2.24,1521784200
<citipy.citipy.City object at 0x0000020761123A20>,bekhtery,ua,46.25,30.15,100,92,16.35,1521787038
<citipy.citipy.City object at 0x000002076047BA90>,shingu,jp,33.72,55.4,50,40,18.34,1521784800
<citipy.citipy.City object at 0x000002075FC4C588>,sao filipe,cv,14.9,70.11,95,0,18.48,1521786698
<citipy.citipy.City object at 0x0000020760878668>,muscat,om,23.6,86,45,0,8.05,1521784200
<citipy.citipy.City object at 0x0000020760826400>,berlevag,no,70.86,24.8,73,75,33.33,1521784200
<citipy.citipy.City object at 0x00000207611E1240>,lompoc,us,34.64,50.7,81,90,5.82,1521784680
<citipy.citipy.City object at 0x00000207615980F0>,samusu,ws,,,,,,
<citipy.citipy.City object at 0x00000207606A5390>,eydhafushi,mv,5.1,83.25,100,56,9.75,1521787039
<citipy.citipy.City object at 0x0000020760F01D68>,ostrovnoy,ru,68.05,9.9,79,0,11.77,1521787040
<citipy.citipy.City object at 0x00000207607D56A0>,duku,ng,11.24,72.09,95,88,5.06,1521787040
<citipy.citipy.City object at 0x000002076035B198>,ardistan,ir,,,,,,
<citipy.citipy.City object at 0x000002075FB6B828>,shache,cn,38.42,65.97,36,0,4.61,1521787041
<citipy.citipy.City object at 0x00000207611B1438>,college,us,64.86,13.23,41,1,5.82,1521784680
<citipy.citipy.City object at 0x00000207601F4860>,chipurupalle,in,18.32,97.65,35,0,2.37,1521787041
<citipy.citipy.City object at 0x0000020760EBB9E8>,milkovo,ru,41.53,37.69,100,92,8.05,1521784800
<citipy.citipy.City object at 0x000002075FA6FFD0>,thompson,ca,55.74,-0.41,54,5,4.7,1521784800
<citipy.citipy.City object at 0x000002075FC42FD0>,moron,cu,10.49,70.47,92,92,3.04,1521787042
<citipy.citipy.City object at 0x000002075FB55518>,lasa,cn,34.92,73.72,47,0,13.87,1521784800
<citipy.citipy.City object at 0x000002075F781860>,griffith,au,-34.29,80.73,46,24,8.63,1521787043
<citipy.citipy.City object at 0x0000020760296B00>,manavalakurichi,in,8.13,89.6,66,40,12.75,1521784800
<citipy.citipy.City object at 0x000002076103D908>,barentsburg,sj,,,,,,
<citipy.citipy.City object at 0x000002075FBE49E8>,mutis,co,6.23,75.06,100,92,1.59,1521787044
<citipy.citipy.City object at 0x00000207603B9A58>,gualdo tadino,it,43.23,40.51,51,20,16.11,1521784800
<citipy.citipy.City object at 0x000002076107DDD8>,cockburn harbour,tc,,,,,,
<citipy.citipy.City object at 0x00000207606E54A8>,constitucion,mx,23.99,63.09,36,56,5.84,1521787045
<citipy.citipy.City object at 0x0000020760158630>,meulaboh,id,4.14,85.32,100,32,5.17,1521786684
<citipy.citipy.City object at 0x000002075FB07B38>,ancud,cl,-41.87,54.54,94,64,9.19,1521786679
<citipy.citipy.City object at 0x000002076013D2B0>,biak,id,-0.91,83.79,87,20,2.93,1521787046
<citipy.citipy.City object at 0x000002075FB88EB8>,yinchuan,cn,38.48,63,33,80,8.75,1521787046
<citipy.citipy.City object at 0x000002075FF7C748>,ilulissat,gl,69.22,1.4,84,48,21.92,1521784200
<citipy.citipy.City object at 0x00000207607C6CF8>,fayaoue,nc,-20.65,79.56,100,88,17.25,1521787047
<citipy.citipy.City object at 0x0000020760E48C50>,khatanga,ru,71.98,-14.5,88,0,3.71,1521786737
<citipy.citipy.City object at 0x000002075F961F98>,chapais,ca,49.78,17.6,67,1,5.82,1521784800
<citipy.citipy.City object at 0x00000207615C9A58>,mutoko,zw,-17.4,70.38,77,0,3.83,1521787047
<citipy.citipy.City object at 0x000002075FBF0DD8>,pizarro,co,4.95,77.04,97,92,3.38,1521787048
<citipy.citipy.City object at 0x000002076015BA20>,palabuhanratu,id,,,,,,
<citipy.citipy.City object at 0x000002075FB76F28>,tieli,cn,46.98,37.08,96,64,7.63,1521787048
<citipy.citipy.City object at 0x00000207606081D0>,kazalinsk,kz,,,,,,
<citipy.citipy.City object at 0x0000020760871DD8>,tuatapere,nz,-46.13,54,100,80,9.19,1521786691
<citipy.citipy.City object at 0x0000020760FBBA90>,urusha,ru,54.05,37.89,46,24,7.4,1521787049
<citipy.citipy.City object at 0x000002075FB789E8>,wanning,cn,48.64,33.8,86,75,10.29,1521784200
<citipy.citipy.City object at 0x000002075F754358>,rawson,ar,-43.3,64.98,36,36,17.02,1521787050
<citipy.citipy.City object at 0x0000020760EF9198>,okhotsk,ru,59.36,24.75,79,0,4.83,1521787050
<citipy.citipy.City object at 0x000002075F544CC0>,puerto quijarro,bo,-19,75.51,92,0,2.37,1521787051
<citipy.citipy.City object at 0x00000207608A76A0>,huarmey,pe,-10.07,65.16,89,92,1.7,1521787051
<citipy.citipy.City object at 0x0000020760E489E8>,kharp,ru,66.82,-14.41,86,56,3.94,1521787051
<citipy.citipy.City object at 0x00000207615C5400>,senanga,zm,-16.1,68.4,93,24,4.38,1521787052
<citipy.citipy.City object at 0x0000020760F4D160>,saskylakh,ru,71.97,-7.3,76,64,8.97,1521786728
<citipy.citipy.City object at 0x0000020760655B00>,marzuq,ly,14.4,76.23,15,0,3.6,1521787053
<citipy.citipy.City object at 0x000002075FE48278>,ginir,et,7.14,73.35,55,0,3.83,1521787053
<citipy.citipy.City object at 0x000002075F841518>,mozarlandia,br,-14.74,71.01,92,20,2.71,1521787053
<citipy.citipy.City object at 0x000002075FA305C0>,fort nelson,ca,58.81,12.2,78,90,5.82,1521784800
<citipy.citipy.City object at 0x0000020760878908>,ruwi,om,23.6,86,45,0,8.05,1521784200
<citipy.citipy.City object at 0x0000020761007C88>,zheleznodorozhnyy,ru,55.75,28.85,86,90,13.42,1521784800
<citipy.citipy.City object at 0x000002076069E438>,mahebourg,mu,-20.41,84.2,70,40,11.41,1521784800
<citipy.citipy.City object at 0x0000020760F582B0>,severo-kurilsk,ru,50.68,25.65,100,44,5.06,1521787055
<citipy.citipy.City object at 0x000002076015B898>,padang,id,-0.92,82.35,100,24,2.37,1521787055
<citipy.citipy.City object at 0x000002076155A160>,moundsville,us,39.92,25.61,50,1,3.36,1521784560
<citipy.citipy.City object at 0x0000020760B82B38>,camacha,pt,33.08,58.23,82,40,8.05,1521784800
<citipy.citipy.City object at 0x000002076044E128>,katsuura,jp,33.93,53.6,37,20,6.93,1521784800
<citipy.citipy.City object at 0x00000207605A2EB8>,pierre,us,44.37,39.2,93,90,16.11,1521784380
<citipy.citipy.City object at 0x000002075FF7C908>,nanortalik,gl,60.14,23.31,100,0,35.14,1521787057
<citipy.citipy.City object at 0x0000020760688F28>,hovd,mn,63.83,36.54,74,75,8.05,1521784200
<citipy.citipy.City object at 0x000002075F8CED68>,the valley,ai,18.22,78.8,78,40,12.75,1521784800
<citipy.citipy.City object at 0x000002075F7961D0>,tumut,au,-35.3,67.68,68,24,5.17,1521787058
<citipy.citipy.City object at 0x00000207611B1AC8>,palmer,us,61.6,26.89,42,1,2.71,1521784560
<citipy.citipy.City object at 0x0000020760655D30>,mizdah,ly,31.45,44.1,63,0,15.46,1521787059
<citipy.citipy.City object at 0x000002075FA74C50>,tuktoyaktuk,ca,69.44,-11.19,83,75,5.82,1521781200
<citipy.citipy.City object at 0x000002075FDC6278>,tuggurt,dz,,,,,,
<citipy.citipy.City object at 0x000002076068F048>,atar,mr,20.52,58.95,17,0,10.54,1521786703
<citipy.citipy.City object at 0x000002075F942C50>,gweta,bw,-20.21,67.05,100,92,4.94,1521787060
<citipy.citipy.City object at 0x000002075F78B128>,mackay,au,53.65,28.4,100,90,9.17,1521784980
<citipy.citipy.City object at 0x0000020760F88F28>,sug-aksy,ru,,,,,,
<citipy.citipy.City object at 0x000002075FBE4518>,mosquera,co,4.71,51.8,87,75,4.7,1521784800
<citipy.citipy.City object at 0x0000020760FB92E8>,ulyanovo,ru,,,,,,
<citipy.citipy.City object at 0x000002076084AE10>,sistranda,no,63.73,37.4,69,75,13.87,1521784200
<citipy.citipy.City object at 0x00000207611B7080>,kingman,us,35.19,64.8,82,90,12.75,1521784560
<citipy.citipy.City object at 0x000002075FB23E48>,altay,cn,47.83,46.08,73,0,2.93,1521787063
<citipy.citipy.City object at 0x000002076085EE80>,alofi,nu,-19.06,82.4,74,48,3.36,1521781200
<citipy.citipy.City object at 0x00000207611B1358>,bethel,us,60.79,30.2,92,90,16.11,1521784380
<citipy.citipy.City object at 0x000002075F95BB70>,bonavista,ca,48.65,31.68,92,92,25.75,1521787064
<citipy.citipy.City object at 0x000002075F531400>,svoge,bg,42.96,24.8,92,75,6.93,1521784800
<citipy.citipy.City object at 0x000002075FC39CC0>,baracoa,cu,20.35,72,100,100,8.19,1521787064
<citipy.citipy.City object at 0x000002075F77EF28>,esperance,au,10.24,75.2,88,20,6.62,1521781200
<citipy.citipy.City object at 0x00000207608754E0>,waipawa,nz,-39.94,60.48,82,76,10.65,1521787065
<citipy.citipy.City object at 0x0000020760685C88>,pyu,mm,18.48,91.17,36,0,3.6,1521787065
<citipy.citipy.City object at 0x0000020760D9F6A0>,amderma,ru,,,,,,
<citipy.citipy.City object at 0x000002075FB4EC88>,juegang,cn,32.31,59.67,78,56,3.27,1521787066
<citipy.citipy.City object at 0x0000020760DDE5F8>,chagda,ru,,,,,,
<citipy.citipy.City object at 0x0000020760FA8CC0>,tsilna,ru,54.59,24.8,45,44,8.95,1521784800
<citipy.citipy.City object at 0x000002075FA45828>,louisbourg,ca,,,,,,
<citipy.citipy.City object at 0x0000020760BB58D0>,airai,pw,-8.93,81.27,67,24,2.48,1521786697
<citipy.citipy.City object at 0x00000207606A2D30>,souillac,mu,45.6,37.2,80,90,1.12,1521784800
<citipy.citipy.City object at 0x0000020760151710>,labuhan,id,-2.54,86.67,70,44,2.82,1521787067
